Square_Feet,Num_Bedrooms,Num_Bathrooms,Year_Built,Garage_Size,Dist_To_Center_KM,School_Rating,Walkability_Score,Price
2168,6,5,1977,3,6.58,7,86,618000.0
1794,2,2,1964,0,0.59,9,95,510500.0
1756,4,5,1953,2,1.92,4,96,517900.0
1783,2,3,2022,2,12.29,2,72,448000.0
2197,6,4,1976,1,12.44,9,81,629200.0
1789,3,4,1975,1,22.86,2,51,460000.0
2144,6,6,1968,2,8.74,3,86,530400.0
3037,3,2,1966,2,1.33,10,89,751100.0
2435,6,4,1992,2,1.29,2,96,602600.0
1836,4,4,1990,2,12.77,3,74,463100.0
2600,5,5,1991,3,2.03,6,94,708000.0
1795,4,5,1999,2,3.98,3,90,512800.0
980,2,2,1989,2,6.68,10,83,456800.0
1495,4,5,1988,2,0.5,8,100,571500.0
1064,1,2,1972,2,2.86,6,99,415000.0
1824,2,4,2001,2,5.24,7,89,534000.0
2009,6,4,1996,2,3.28,1,87,560200.0
2838,2,2,2012,2,1.47,3,100,592100.0
2163,5,4,2018,0,13.02,3,69,547100.0
1890,3,3,1992,2,16.77,2,59,436800.0
2414,6,6,1997,1,2.98,7,83,717200.0
894,2,4,1983,1,14.89,9,70,417800.0
2117,6,4,1989,0,4.87,4,89,547300.0
2385,6,5,2024,2,7.07,5,91,679600.0
1260,6,5,2010,2,19.38,3,64,423200.0
2571,3,3,1999,1,13.86,9,73,639500.0
2169,4,5,2016,2,16.35,4,65,572800.0
1792,6,5,2011,2,1.47,5,100,541900.0
2316,1,1,2007,1,0.72,1,100,505200.0
3135,5,3,1982,2,22.39,2,60,637600.0
2090,3,4,2024,2,4.91,9,87,637300.0
2124,2,4,1965,2,3.4,2,97,499600.0
1770,3,3,1997,2,12.9,5,72,526900.0
1575,2,4,1959,2,18.1,8,58,515000.0
2415,3,2,1987,0,19.84,3,55,542300.0
1571,2,3,1968,1,3.8,6,90,457400.0
2035,6,4,1985,0,19.12,4,62,499100.0
1761,4,4,2008,3,0.5,7,100,574300.0
2239,2,4,2012,1,0.51,10,94,671200.0
2166,2,3,1995,1,9.77,3,87,525700.0
2518,1,2,1952,3,0.65,6,97,592700.0
1744,2,2,2023,3,3.92,10,82,542100.0
1865,1,1,2014,2,11.17,9,75,508500.0
1510,5,4,1957,0,4.11,10,97,528600.0
1777,6,6,2000,0,1.98,1,97,528600.0
2188,1,3,2022,2,3.3,3,95,544200.0
2378,4,3,1955,1,6.12,2,94,546800.0
1538,6,6,1988,0,6.45,8,81,576800.0
2434,1,1,2009,2,15.28,7,64,515100.0
2677,6,6,1977,3,13.87,2,60,601700.0
2206,6,5,2003,2,6.1,6,92,639200.0
2938,6,4,1986,2,18.69,3,65,661300.0
1613,5,3,1958,2,1.21,8,100,562400.0
1377,4,4,2005,1,2.95,10,88,547600.0
1110,3,2,2008,2,17.6,3,56,313400.0
2748,3,4,1951,1,4.75,10,83,727300.0
2327,1,3,2010,1,39.73,9,15,556700.0
1972,6,4,2007,2,6.28,1,95,509200.0
2139,1,3,2009,1,15.7,5,73,476100.0
1437,5,3,1989,3,5.15,3,87,444400.0
3222,5,4,1985,1,5.53,6,90,763000.0
2064,2,2,1986,2,4.83,10,86,565500.0
2054,5,4,1967,2,12.7,2,76,522300.0
2362,2,4,2012,1,7.93,9,78,668300.0
2240,4,4,1971,0,28.78,6,46,542700.0
2111,1,3,1960,2,2.89,7,89,548700.0
1604,4,3,2007,3,1.06,5,100,528100.0
2235,5,5,2006,3,5.0,9,87,699900.0
2941,4,3,1953,2,9.59,1,76,578400.0
2672,4,3,1956,2,19.72,5,68,591900.0
2796,4,4,2010,2,4.25,10,92,777300.0
1744,5,4,2003,2,10.61,6,77,488600.0
1505,6,5,2017,2,4.31,7,95,539800.0
1937,4,4,1950,2,9.6,4,74,520900.0
2027,2,4,2004,3,21.61,1,62,490500.0
2547,5,5,1952,2,2.63,8,94,720800.0
1153,4,5,1987,3,5.18,10,92,545900.0
2764,6,4,1950,2,50.0,4,0,570300.0
1920,5,5,1987,1,20.29,3,57,477700.0
1786,3,4,1978,0,8.32,7,83,517900.0
1493,6,6,1954,2,7.27,2,90,414100.0
1172,2,3,2023,2,3.35,8,96,495600.0
2411,4,5,1970,3,7.28,6,83,619200.0
2036,3,2,2020,1,18.85,7,63,521900.0
1355,3,3,2016,3,11.56,5,83,467100.0
1352,5,3,1996,3,3.43,9,92,486100.0
1832,3,4,1984,1,2.25,5,93,490100.0
2834,2,3,2017,3,3.08,5,84,676600.0
1870,2,2,2018,3,1.86,3,94,496300.0
1248,1,3,1950,2,1.01,1,89,325900.0
1877,2,2,2017,2,5.43,2,88,455700.0
1863,6,4,1961,3,1.2,8,100,631800.0
651,3,2,2009,2,1.89,1,85,286800.0
1972,2,4,1976,2,7.93,7,90,563000.0
1884,5,5,2005,3,1.8,5,94,603400.0
2348,1,1,1972,2,0.66,3,98,496900.0
2924,3,3,1974,2,3.82,7,89,749800.0
2563,1,2,1970,1,2.49,9,86,574300.0
1865,3,4,2010,2,7.24,2,81,524200.0
1446,5,5,2012,0,1.08,8,100,575800.0
3286,1,3,2001,3,13.93,9,66,764200.0
2029,4,5,1974,2,23.67,3,44,503500.0
2006,6,6,2004,1,13.6,2,73,544300.0
1987,6,5,1995,2,7.61,7,84,645400.0
2099,3,4,1981,0,19.71,5,58,517400.0
1927,4,3,2004,2,11.87,5,76,506600.0
1713,1,1,1954,3,0.5,10,100,533000.0
1726,4,4,1985,3,5.01,5,87,558500.0
1983,4,3,1998,1,19.03,4,62,447700.0
1728,1,2,2007,1,4.24,5,96,520600.0
1643,5,4,1988,3,0.5,4,94,486000.0
2053,4,3,2010,3,13.71,6,60,539000.0
1872,4,5,1958,2,16.2,4,70,468800.0
2751,5,3,1955,2,1.75,2,100,609200.0
674,4,3,1984,2,7.71,9,84,363200.0
2545,4,4,1988,3,2.13,2,96,575000.0
2623,4,3,1971,2,12.7,9,73,653800.0
963,6,5,1990,1,3.17,10,100,514100.0
1828,2,4,1954,1,3.8,6,92,512000.0
1814,5,5,1991,3,18.64,9,61,623800.0
1296,4,5,2016,0,6.47,9,91,557400.0
1611,6,4,1979,2,11.08,3,75,497100.0
1444,5,4,2006,2,5.15,1,83,425300.0
2876,3,4,2022,1,3.54,1,97,586800.0
2467,3,3,1978,0,9.82,3,77,500300.0
2635,4,4,1986,3,1.68,5,91,687800.0
2360,6,6,1962,3,4.67,3,100,644300.0
1435,6,6,1981,3,2.35,9,94,573100.0
1737,5,4,1995,3,11.9,9,78,545700.0
2244,5,5,1972,2,28.86,3,42,506200.0
1388,6,5,1994,3,50.0,3,0,392100.0
2356,5,4,1966,2,5.98,5,91,611300.0
1879,6,6,2015,2,2.91,2,95,587100.0
1812,2,2,1955,3,5.85,6,85,468800.0
2355,6,6,1967,1,18.79,7,64,640600.0
2222,3,2,1971,2,2.31,9,92,634800.0
1819,5,4,1982,2,30.39,6,33,447500.0
2579,6,5,1979,1,4.18,3,85,648400.0
1459,6,4,1981,0,42.55,5,16,398400.0
2307,5,4,1991,3,18.24,4,61,595400.0
2296,2,2,1959,3,16.53,5,74,531200.0
1845,2,2,1985,2,3.83,8,92,511700.0
2163,5,4,1983,0,0.5,8,95,619800.0
1374,1,1,2022,0,4.81,6,91,352400.0
2462,5,5,1977,3,3.59,1,86,611900.0
1907,5,5,1960,2,0.5,8,98,613500.0
1738,2,3,1988,2,7.04,8,87,558100.0
2524,2,3,1996,2,5.16,2,90,548800.0
1647,5,3,1968,2,10.07,4,86,486300.0
1295,5,3,1964,2,9.71,2,93,352600.0
1221,5,3,1977,3,1.29,4,100,359000.0
2303,2,2,1973,2,37.71,10,30,551700.0
1359,5,5,2021,2,2.07,7,100,523500.0
2877,5,5,1958,2,5.89,9,83,730000.0
959,4,4,1996,2,6.7,8,87,468400.0
2848,1,1,1982,2,16.77,9,64,672400.0
2105,3,2,2011,1,1.05,8,100,594300.0
1951,1,2,1968,2,5.6,2,90,428400.0
1727,4,3,2016,1,9.9,7,76,531300.0
2199,3,2,2023,3,2.42,2,95,512700.0
1981,5,3,1989,2,9.87,2,85,508500.0
2551,4,3,1996,3,25.73,4,42,538200.0
2057,5,3,2014,0,50.0,1,0,386200.0
2075,2,3,1978,2,0.5,5,94,517000.0
1818,6,4,1999,2,2.69,6,96,587900.0
1971,4,4,1962,2,3.72,9,98,594200.0
2153,2,2,1950,2,5.09,10,79,619300.0
1144,4,5,1983,2,2.77,8,94,510100.0
1325,4,5,1997,2,2.28,2,90,415200.0
2371,2,4,1997,1,30.91,1,43,495700.0
2085,3,4,1998,1,25.07,2,48,463900.0
1908,1,2,2013,2,0.5,7,99,546000.0
2009,5,4,2010,2,4.14,4,91,586900.0
2173,4,3,1978,1,5.19,10,95,659900.0
1730,5,5,1988,1,2.73,5,100,545600.0
1610,6,5,1975,1,9.91,7,74,581700.0
2097,2,2,1966,2,10.23,3,74,480600.0
1510,5,3,2020,2,19.0,10,63,544400.0
2204,2,3,1962,3,13.5,2,68,474500.0
1148,5,5,2018,3,7.82,7,89,482300.0
2514,1,1,1975,2,10.6,5,84,551400.0
2236,1,3,1998,0,3.2,1,90,488000.0
2128,1,3,2016,0,8.99,1,78,473200.0
2491,1,3,1956,1,6.72,9,85,632700.0
2832,1,1,2007,3,1.43,5,97,634400.0
2507,1,3,1998,2,2.78,1,96,587300.0
1079,2,2,2002,1,3.45,7,81,390300.0
1360,4,5,2014,2,25.81,9,43,517700.0
1687,5,3,2011,2,2.62,1,92,455100.0
2013,1,3,1966,2,3.41,10,89,519100.0
2258,2,3,1992,1,4.61,4,76,538100.0
1637,2,4,1974,3,10.9,3,68,414800.0
2093,2,4,1952,2,1.26,5,90,538300.0
1622,4,3,1978,1,30.78,7,37,452600.0
1694,5,3,1981,3,20.07,8,57,531600.0
1296,4,5,1975,0,8.61,2,79,383900.0
1538,3,3,1965,3,11.21,7,81,463200.0
1324,2,3,1974,3,0.5,1,100,384600.0
1512,3,2,2003,2,4.14,7,92,462300.0
2526,6,5,1977,2,15.88,8,68,642200.0
1525,1,3,2022,2,0.81,2,94,424600.0
3316,1,1,2005,3,3.32,9,89,782500.0
2246,4,5,2014,2,8.8,1,73,571000.0
2092,5,3,1990,2,2.96,6,92,589800.0
1570,3,2,2000,3,27.18,1,49,389900.0
2350,5,3,2020,3,1.4,3,100,629200.0
1712,4,3,1978,3,15.96,6,66,483100.0
2061,1,2,1968,2,7.09,3,88,467700.0
3280,5,5,2015,3,13.88,8,57,826500.0
1951,5,5,1990,2,3.72,5,90,575500.0
2574,1,3,1994,3,7.23,2,83,584500.0
1648,3,2,1964,2,19.44,4,68,404000.0
1982,1,2,1952,2,6.29,9,89,520700.0
2885,5,5,1960,2,4.46,4,93,621500.0
1686,3,3,2002,2,7.68,10,86,541100.0
2906,3,2,1995,2,12.64,10,74,682700.0
2353,1,3,1979,2,5.86,8,95,602200.0
1718,5,4,2006,2,27.95,5,32,456000.0
2316,4,3,1967,2,3.49,10,93,671600.0
2486,5,4,2000,3,6.45,1,92,615200.0
2310,2,4,1997,2,14.14,7,62,598400.0
1214,6,6,2015,0,11.68,3,80,424100.0
1636,4,3,1957,1,19.92,10,56,518700.0
1876,3,2,1971,0,50.0,8,0,481700.0
1962,4,3,1955,2,5.57,3,84,527700.0
2310,3,3,2006,1,1.18,1,100,494500.0
2088,3,3,1985,1,0.5,5,97,511100.0
1332,4,4,2006,3,12.98,2,78,366900.0
2190,3,2,1998,3,20.72,4,60,480100.0
2305,3,4,1994,2,2.49,1,91,546600.0
2279,2,4,2015,3,1.73,9,99,649500.0
2540,5,4,1994,0,0.64,6,95,643200.0
2416,5,4,1969,2,17.3,8,65,665800.0
2229,6,6,2013,2,3.73,4,91,654100.0
1964,6,6,2016,2,5.14,9,94,632200.0
1169,2,3,1952,2,6.99,2,88,354400.0
2214,6,5,2003,2,18.29,9,63,677200.0
2103,4,5,2013,2,10.52,5,75,601600.0
2135,1,1,1989,2,9.55,6,74,493900.0
1361,1,2,2008,1,1.93,3,96,377100.0
1459,1,3,2004,1,7.2,4,82,364600.0
2526,2,4,2011,1,12.57,6,65,643400.0
1980,2,4,1953,1,36.22,7,20,453600.0
2340,3,4,2009,2,2.25,1,100,531700.0
2014,1,1,2024,1,0.5,7,95,513500.0
2014,4,5,1979,3,0.78,1,100,567500.0
2469,6,5,1951,1,4.71,5,88,622200.0
1741,4,3,2011,1,17.18,6,71,523300.0
2048,6,6,1998,2,0.5,2,100,582100.0
1768,1,1,1958,0,6.1,10,83,473800.0
1782,1,2,1980,2,3.99,9,82,496600.0
1845,1,3,2010,2,0.54,10,89,567500.0
2111,2,3,1997,1,5.98,6,83,548800.0
1760,6,6,1974,0,2.94,7,100,602700.0
2627,2,4,1985,2,4.34,10,89,693600.0
1552,2,4,1957,0,12.23,8,76,461600.0
1906,5,5,2022,1,7.37,10,91,627600.0
1780,4,5,2007,1,1.33,1,97,460500.0
2723,4,3,1994,1,32.55,8,35,605900.0
2098,3,4,2011,2,10.1,4,82,572200.0
2515,2,4,1988,2,14.52,10,72,656500.0
1257,6,4,2007,2,0.83,8,97,516900.0
2133,5,3,2013,1,0.5,6,95,586300.0
2444,5,3,1993,1,0.5,9,99,676700.0
2041,4,3,1978,3,2.09,4,100,547700.0
2532,2,2,2008,2,5.35,2,98,538400.0
1741,3,2,2020,3,27.46,2,46,413200.0
2704,2,4,1958,2,6.11,5,91,660300.0
3149,1,3,1955,2,3.43,10,94,725000.0
1818,2,3,1978,2,8.25,9,83,531700.0
1777,1,3,2007,2,1.19,3,100,481200.0
2726,1,3,1966,2,9.4,8,87,683000.0
2789,3,2,1965,2,8.4,4,78,570500.0
1738,6,4,1952,1,15.7,6,61,465300.0
1789,4,5,1970,2,43.19,10,10,529500.0
1859,2,3,2013,2,2.89,6,95,529500.0
1327,1,1,1985,3,7.13,3,90,367300.0
1540,2,4,2011,2,23.95,5,47,454800.0
1497,6,6,1991,2,15.38,3,56,480900.0
1616,4,4,1991,1,6.68,1,84,458300.0
1982,6,5,2010,2,29.07,7,40,564600.0
2117,4,3,1962,2,0.59,4,93,545200.0
2775,5,4,1960,3,26.74,7,42,629900.0
1500,4,5,2003,2,0.52,3,100,481900.0
2492,3,4,1965,2,7.93,5,84,566400.0
1893,6,5,1957,2,22.11,5,57,497800.0
1975,1,2,2008,3,3.05,2,92,509400.0
2337,5,4,2006,2,6.39,10,83,652700.0
1438,3,3,1989,2,3.92,2,90,399400.0
2191,2,2,2008,3,30.4,4,41,505000.0
2083,6,5,1951,0,17.35,4,57,591300.0
2246,1,1,1959,3,12.34,4,83,483600.0
2144,4,5,1993,1,8.86,6,85,603700.0
3227,1,2,1960,2,17.18,2,62,598200.0
1681,2,2,1951,2,4.98,6,94,481600.0
1734,5,4,1999,2,5.93,7,94,571000.0
1688,5,5,1961,3,13.09,10,72,570600.0
1722,6,6,1972,0,4.43,3,90,545800.0
1681,5,5,1967,1,0.66,8,100,560300.0
2594,6,5,2011,2,0.77,2,100,615600.0
2710,6,5,2011,2,1.23,8,97,722200.0
1714,6,4,1987,2,20.38,5,53,497300.0
1583,4,5,2016,0,6.39,2,84,467700.0
2235,3,3,1987,1,12.48,7,80,600200.0
1723,6,6,2016,1,4.99,2,84,545000.0
2316,6,6,2010,1,2.99,6,92,680900.0
2101,3,2,1950,2,4.26,10,92,614400.0
1242,1,1,1994,2,15.81,3,63,319500.0
2773,6,4,1977,3,9.81,9,85,710100.0
2897,4,3,1970,3,27.75,3,47,558800.0
1693,5,5,1962,1,11.39,3,87,506600.0
1806,5,3,1976,2,8.44,5,87,453400.0
2142,2,2,1956,1,9.42,7,76,522900.0
2167,2,2,1971,1,28.54,8,45,590500.0
2329,5,3,2023,2,15.52,7,73,638800.0
3005,5,5,2002,0,0.5,9,100,793000.0
1911,4,3,1953,1,7.64,5,80,458300.0
1600,3,4,1972,3,11.66,10,72,585600.0
1310,2,3,2019,2,13.81,3,66,416200.0
1634,3,4,1982,2,2.4,6,100,525900.0
1983,4,5,1977,0,20.19,5,62,523100.0
2897,5,3,1957,1,31.2,4,33,612500.0
1741,6,5,1950,3,2.7,2,95,494500.0
2111,3,3,1986,1,21.42,7,56,515000.0
1991,5,4,2012,2,1.02,5,93,609000.0
2594,5,4,1971,0,0.57,4,99,629700.0
3263,1,3,2019,2,1.38,8,98,781700.0
1734,3,3,1970,0,0.59,9,100,538400.0
1755,6,6,1984,3,18.64,9,59,617000.0
2522,3,4,1954,3,0.61,3,90,591200.0
2340,5,5,2009,2,3.17,3,88,614300.0
2923,6,5,1995,1,1.1,5,93,737000.0
2291,4,3,1999,3,3.5,5,90,672700.0
1820,1,1,1997,2,0.95,10,92,562200.0
2295,5,4,1955,2,11.03,2,82,601800.0
2554,2,2,2005,2,1.43,1,91,545000.0
2410,2,2,2008,0,19.1,8,61,577100.0
2253,1,3,1978,1,16.99,3,76,458600.0
2533,4,5,2020,2,0.5,1,100,656500.0
2584,5,4,1967,1,22.61,1,57,520800.0
2691,3,3,1951,2,0.5,2,100,625900.0
2324,1,1,1957,2,2.74,6,100,508700.0
1916,4,5,2024,3,0.5,6,100,628100.0
2073,3,3,2003,3,4.09,3,90,487000.0
2603,2,3,1987,3,7.21,4,85,586000.0
1591,2,3,1997,1,15.93,2,67,393300.0
2184,3,3,1976,1,4.12,2,89,489900.0
1803,1,2,1969,2,12.22,7,76,468800.0
2014,2,3,1961,0,2.08,1,97,441800.0
2639,5,3,1992,0,13.89,7,66,671700.0
2095,6,6,2010,2,2.69,1,100,524200.0
2023,3,4,1980,2,1.55,6,98,553800.0
1320,3,3,2010,3,2.05,3,94,452800.0
2373,2,4,2023,1,2.01,8,97,670000.0
2322,1,3,2016,1,7.19,6,90,611200.0
3081,5,5,1984,1,18.63,2,55,683400.0
1846,1,2,1964,3,0.83,8,97,492700.0
2109,4,4,1965,2,12.27,5,69,563300.0
2124,4,5,1962,3,10.62,8,92,618400.0
2788,6,6,1984,3,20.6,8,59,798200.0
1952,2,3,2024,2,2.8,6,88,571800.0
2139,2,2,2008,2,5.98,2,100,503500.0
2303,2,4,1970,2,26.01,8,45,592700.0
2093,6,4,2003,2,10.79,6,77,613100.0
1776,4,5,2024,2,4.92,6,89,582100.0
2097,1,1,1979,2,1.41,8,92,537100.0
2536,6,4,1997,3,3.04,1,95,623700.0
1486,6,4,1984,3,8.7,2,71,473700.0
2066,1,2,1987,2,12.66,9,80,577100.0
1649,2,2,1980,2,1.33,8,91,525700.0
2597,5,3,1973,2,9.15,7,79,692900.0
1238,1,1,1998,1,7.99,7,87,419300.0
1720,4,5,1981,0,7.21,5,84,527300.0
2188,3,2,2004,2,11.72,2,75,465700.0
2782,3,4,2007,2,18.17,6,58,633400.0
1967,6,4,1952,0,3.9,10,100,614500.0
1722,3,2,2018,3,21.98,3,58,432000.0
2940,5,4,1959,0,1.75,4,91,709400.0
1275,2,4,1974,1,1.9,10,97,427500.0
900,4,3,2017,2,3.1,2,88,324000.0
2220,5,5,2010,1,1.27,2,100,578100.0
1748,4,5,1978,0,2.62,8,95,543500.0
1489,4,4,1968,2,1.13,8,92,502600.0
2354,2,3,1992,2,17.25,10,68,614600.0
2121,6,5,2015,2,1.5,6,95,621500.0
1717,3,3,2023,2,13.76,5,66,469700.0
1359,2,3,2010,2,0.5,8,100,524400.0
2436,5,4,1992,0,29.67,4,42,574900.0
2325,6,5,1974,3,12.42,4,80,627500.0
1950,5,4,1969,0,0.5,5,99,547600.0
2923,6,4,1997,3,14.43,1,71,670900.0
1464,5,5,1973,2,7.22,1,86,450400.0
1237,2,3,1960,3,15.11,2,77,347800.0
1654,6,5,2004,1,7.39,8,83,566500.0
1977,6,6,1977,2,10.25,7,81,606000.0
2121,4,3,2018,1,15.43,10,72,650200.0
1879,4,5,2012,0,5.19,9,91,602000.0
2176,1,3,2008,2,0.5,5,97,524700.0
1374,5,4,1954,1,18.97,2,62,364300.0
2721,4,5,2000,2,4.79,7,89,755000.0
1958,1,3,1970,1,6.85,8,96,519100.0
2558,4,4,1961,2,0.5,7,96,673900.0
2171,5,4,1999,2,6.77,7,81,608700.0
2228,6,5,1953,2,43.04,5,13,551200.0
2284,3,3,1991,2,3.26,2,93,547500.0
2223,5,5,1987,2,5.03,6,90,592100.0
2321,2,4,1974,3,11.62,4,74,561100.0
2664,4,3,1963,2,16.86,10,66,637800.0
2098,4,3,2024,2,5.4,2,89,514500.0
2354,6,6,1981,3,3.71,9,97,723400.0
1955,2,2,1960,2,27.78,7,44,516400.0
2720,6,6,2010,2,11.31,6,77,735800.0
1661,2,2,1967,2,1.27,5,100,433400.0
2900,3,3,1976,2,0.71,3,100,631100.0
1979,4,3,2004,2,6.61,10,81,641200.0
1284,4,4,2003,0,2.49,10,88,507800.0
2064,3,3,2024,1,2.93,4,100,570700.0
1659,1,2,1970,3,21.01,3,61,366200.0
2420,6,5,1993,1,0.94,8,97,682200.0
1673,3,2,1954,2,12.57,3,74,393000.0
1776,6,6,1990,2,3.16,7,91,567200.0
1055,5,4,2008,2,14.28,7,72,391900.0
1773,4,3,2003,0,12.82,7,69,517300.0
788,6,5,2023,1,0.5,7,100,459500.0
1208,2,2,1971,3,7.12,2,86,341400.0
2380,6,4,2014,3,1.5,10,98,731300.0
2392,5,3,2013,2,20.12,3,55,620800.0
2212,4,5,2020,2,20.52,10,61,667500.0
1516,3,2,1953,2,5.42,9,84,451200.0
1976,5,3,2014,2,5.88,3,84,501100.0
1998,4,5,1964,2,3.61,2,93,517000.0
1420,6,6,1971,0,12.61,9,87,534900.0
2751,1,1,1996,2,4.44,10,91,643600.0
2438,1,3,1995,2,3.12,9,80,643000.0
1889,2,3,1963,3,5.66,4,85,479900.0
2013,4,4,1999,0,0.96,9,100,661900.0
2104,1,3,1969,2,13.73,3,66,447200.0
979,3,4,1999,2,0.5,7,100,427400.0
1876,4,3,1982,2,10.34,7,80,579000.0
1659,3,4,2008,1,2.02,8,100,559500.0
1499,3,2,1992,2,2.64,10,91,500000.0
1859,1,2,1961,2,10.1,4,76,418800.0
2898,4,5,1989,2,49.54,3,3,557300.0
2320,6,4,1969,2,15.04,3,69,566900.0
1714,5,3,1987,2,2.56,5,94,538800.0
2286,1,2,1952,2,1.94,1,100,508300.0
